stationId,linkId,numberOfQueues,rechargeRate,min Distance, x-coord,y-coord
Station_161,206099,1,38.4,1.2004188134769294,2706877,1249811
Station_162,129828,1,38.4,0.023819327010642155,2689033,1231975
Station_163,248642,1,38.4,2.4152063741250274,2680976,1247080
Station_164,955382,1,38.4,1.3194609903709704,2656418,1249054
Station_165,26345,1,38.4,3.118443254546847,2695866,1261196
Station_166,519203,1,38.4,0.546022111409485,2666825,1257705
Station_167,89515,1,38.4,0.6737057192562474,2687316,1251552
Station_168,502276,1,38.4,4.054465091271943,2688129,1250072
Station_169,691204,1,38.4,2.449547384197885,2681058,1270564
Station_170,789105,1,38.4,1.0454259478314611,2683694,1253376
Station_171,96890,1,38.4,5.287324887551108,2680290,1252793
Station_172,258548,1,38.4,0.6275565020405338,2659897,1246886
Station_174,728874,1,38.4,0.7593935933858091,2658993,1250780
Station_175,673410,1,38.4,6.060381430196747,2682056,1247293
Station_176,862847,1,38.4,0.033383670787600295,2706074,1252744
Station_177,258329,1,38.4,8.17859745779188,2677454,1255274
Station_179,477221,1,38.4,8.9676961822272,2678335,1226268
Station_181,782329,1,38.4,1.0083179829395874,2664304,1257673
Station_182,374356,1,38.4,1.1838663366176547,2666381,1238943
Station_183,596465,1,38.4,0.3692828786055884,2676665,1237924
Station_184,821970,1,38.4,0.6666425556171021,2664554,1224197
Station_185,644388,1,38.4,1.4868653767430544,2697019,1245370
Station_186,873646,1,38.4,0.08365340711252145,2711482,1236916
Station_187,472063,1,38.4,2.046755380182958,2691024,1242301
Station_188,664850,1,38.4,5.987774992411232,2672708,1226474
Station_189,635522,1,38.4,0.7777499954711118,2674318,1268492
Station_190,345198,1,38.4,0.7450430389230576,2692872,1248746
Station_191,314070,1,38.4,49.48919670981803,2676668,1245893
Station_193,543746,1,38.4,4.871496688044289,2654919,1253467
Station_196,756905,1,38.4,2.4250556671080403,2676694,1251761
Station_197,440124,1,38.4,3.020253751912378,2658909,1260408
Station_199,351152,1,38.4,1.670921148582032,2703815,1243276
Station_200,220272,1,38.4,1.0887846058300852,2681553,1242542
Station_201,239398,1,38.4,0.6013650374592885,2682774,1244739
Station_203,588859,1,38.4,3.2075665426840203,2660780,1264087
Station_204,227036,1,38.4,1.179162574322774,2664547,1259874
Station_205,379436,1,38.4,2.219366161045457,2688837,1232522
Station_206,661612,1,38.4,7.2597486120340164,2681968,1226572
Station_207,776448,1,38.4,3.7817482057149334,2668467,1235984
Station_208,53312,1,38.4,1.7763782523880707,2685969,1230056
Station_209,769226,1,38.4,11.638947751896211,2661596,1244997
Station_211,580910,1,38.4,0.649765046228616,2666900,1220500
Station_213,546654,1,38.4,0.2503671419729301,2693833,1248516
Station_214,118767,1,38.4,0.062002375649541364,2679993,1246909
Station_215,670809,1,38.4,6.93027344721223,2699659,1261651
Station_216,812598,1,38.4,0.4798276837694573,2695307,1256103
Station_217,851778,1,38.4,5.754938252269227,2676849,1217322
Station_218,418636,1,38.4,1.9344461482725421,2675486,1222345
Station_219,386831,1,38.4,4.743860143285374,2693497,1263590
Station_220,777094,1,38.4,2.653388698601418,2684341,1252708
Station_224,744602,1,38.4,0.7789940350419045,2699963,1254610
Station_225,839704,1,38.4,5.358680373710342,2689481,1252727
Station_226,157181,1,38.4,5.153475158967787,2678557,1226708
Station_227,239491,1,38.4,0.21361539627088177,2685885,1238156
